S=C=A=N: Fri Feb 12 15:48:17 2016: Collect start
/lrz/sys/intel/impi/5.0.3.048/bin64/mpirun -n 16 ./zombie_model zombie_config.props zombie_model.props
 Starting... 
12.02.2016 15:50:49 [0] INFO root TICK BEGINS: 70
12.02.2016 15:50:51 [0] INFO root TICK ENDS: 70
12.02.2016 15:50:51 [0] INFO root TICK BEGINS: 71
12.02.2016 15:50:54 [0] INFO root TICK ENDS: 71
12.02.2016 15:50:54 [0] INFO root TICK BEGINS: 72
12.02.2016 15:50:56 [0] INFO root TICK ENDS: 72
12.02.2016 15:50:56 [0] INFO root TICK BEGINS: 73
12.02.2016 15:50:58 [0] INFO root TICK ENDS: 73
12.02.2016 15:50:58 [0] INFO root TICK BEGINS: 74
12.02.2016 15:51:00 [0] INFO root TICK ENDS: 74
12.02.2016 15:51:00 [0] INFO root TICK BEGINS: 75
12.02.2016 15:51:02 [0] INFO root TICK ENDS: 75
12.02.2016 15:51:03 [0] INFO root TICK BEGINS: 76
12.02.2016 15:51:05 [0] INFO root TICK ENDS: 76
12.02.2016 15:51:05 [0] INFO root TICK BEGINS: 77
12.02.2016 15:51:07 [0] INFO root TICK ENDS: 77
12.02.2016 15:51:07 [0] INFO root TICK BEGINS: 78
12.02.2016 15:51:09 [0] INFO root TICK ENDS: 78
12.02.2016 15:51:09 [0] INFO root TICK BEGINS: 79
12.02.2016 15:51:11 [0] INFO root TICK ENDS: 79
12.02.2016 15:51:11 [0] INFO root TICK BEGINS: 80
12.02.2016 15:51:13 [0] INFO root TICK ENDS: 80
12.02.2016 15:51:13 [0] INFO root TICK BEGINS: 81
12.02.2016 15:51:15 [0] INFO root TICK ENDS: 81
12.02.2016 15:51:16 [0] INFO root TICK BEGINS: 82
12.02.2016 15:51:18 [0] INFO root TICK ENDS: 82
12.02.2016 15:51:18 [0] INFO root TICK BEGINS: 83
12.02.2016 15:51:20 [0] INFO root TICK ENDS: 83
12.02.2016 15:51:20 [0] INFO root TICK BEGINS: 84
12.02.2016 15:51:22 [0] INFO root TICK ENDS: 84
12.02.2016 15:51:22 [0] INFO root TICK BEGINS: 85
12.02.2016 15:51:24 [0] INFO root TICK ENDS: 85
12.02.2016 15:51:24 [0] INFO root TICK BEGINS: 86
12.02.2016 15:51:26 [0] INFO root TICK ENDS: 86
12.02.2016 15:51:27 [0] INFO root TICK BEGINS: 87
12.02.2016 15:51:29 [0] INFO root TICK ENDS: 87
12.02.2016 15:51:29 [0] INFO root TICK BEGINS: 88
12.02.2016 15:51:31 [0] INFO root TICK ENDS: 88
12.02.2016 15:51:31 [0] INFO root TICK BEGINS: 89
12.02.2016 15:51:33 [0] INFO root TICK ENDS: 89
12.02.2016 15:51:34 [0] INFO root TICK BEGINS: 90
12.02.2016 15:51:36 [0] INFO root TICK ENDS: 90
12.02.2016 15:51:36 [0] INFO root TICK BEGINS: 91
12.02.2016 15:51:38 [0] INFO root TICK ENDS: 91
12.02.2016 15:51:38 [0] INFO root TICK BEGINS: 92
12.02.2016 15:51:40 [0] INFO root TICK ENDS: 92
12.02.2016 15:51:40 [0] INFO root TICK BEGINS: 93
12.02.2016 15:51:42 [0] INFO root TICK ENDS: 93
12.02.2016 15:51:42 [0] INFO root TICK BEGINS: 94
12.02.2016 15:51:45 [0] INFO root TICK ENDS: 94
12.02.2016 15:51:45 [0] INFO root TICK BEGINS: 95
12.02.2016 15:51:47 [0] INFO root TICK ENDS: 95
12.02.2016 15:51:47 [0] INFO root TICK BEGINS: 96
12.02.2016 15:51:49 [0] INFO root TICK ENDS: 96
12.02.2016 15:51:49 [0] INFO root TICK BEGINS: 97
12.02.2016 15:51:51 [0] INFO root TICK ENDS: 97
12.02.2016 15:51:51 [0] INFO root TICK BEGINS: 98
12.02.2016 15:51:53 [0] INFO root TICK ENDS: 98
12.02.2016 15:51:53 [0] INFO root TICK BEGINS: 99
12.02.2016 15:51:56 [0] INFO root TICK ENDS: 99
12.02.2016 15:51:56 [0] INFO root TICK BEGINS: 100
12.02.2016 15:51:58 [0] INFO root TICK ENDS: 100
12.02.2016 15:51:59 [0] INFO root date_time.run = 12.02.2016 15:48:19
12.02.2016 15:51:59 [0] INFO root distribution.zombie_move = int_uniform, 0, 2
12.02.2016 15:51:59 [0] INFO root grid.buffer = 2
12.02.2016 15:51:59 [0] INFO root human.count = 5000;
12.02.2016 15:51:59 [0] INFO root human.dataname = human_population
12.02.2016 15:51:59 [0] INFO root human.input.file = human.h5
12.02.2016 15:51:59 [0] INFO root human.output.file = human_out.h5
12.02.2016 15:51:59 [0] INFO root init.time = 0.59
12.02.2016 15:51:59 [0] INFO root max.x = 99
12.02.2016 15:51:59 [0] INFO root max.y = 99
12.02.2016 15:51:59 [0] INFO root min.x = 0
12.02.2016 15:51:59 [0] INFO root min.y = 0
12.02.2016 15:51:59 [0] INFO root output.interval = 2
12.02.2016 15:51:59 [0] INFO root proc.per.x = 4 #process in x axis
12.02.2016 15:51:59 [0] INFO root proc.per.y = 4 #process in y axis
12.02.2016 15:51:59 [0] INFO root process.count = 16
12.02.2016 15:51:59 [0] INFO root random.seed = 1455288499
12.02.2016 15:51:59 [0] INFO root run.time = 216.4
12.02.2016 15:51:59 [0] INFO root stop.at = 100
12.02.2016 15:51:59 [0] INFO root zombie.count = 1000;
12.02.2016 15:51:59 [0] INFO root zombie.dataname = zombie_population
12.02.2016 15:51:59 [0] INFO root zombie.input.file = zombie.h5
12.02.2016 15:51:59 [0] INFO root zombie.output.file = zombie_out.h5
S=C=A=N: Fri Feb 12 15:52:05 2016: Collect done (status=0) 228s
